-- ignore option cache	
WARNING: unknown option/argument: save IGNORING for DIRECTORY NAME	
-- ignore option optimState	
-- ignore option retrain	
{
  cudnn : "fastest"
  txtimg : "../data/rendout/tmp_y144_x256_aug/lists/img.txt"
  cache : "../save/"
  t : "PR_fcn"
  batchSize : 4
  resume : "none"
  epochSize : 75000
  nDonkeys : 2
  W : 64
  save : "/home/namhoon/develop/PoseRegression/save/PR_fcn/option/t_MonApr414:14:562016"
  LR : 0.01
  nTestData : 1000
  optimState : "none"
  txtjsdc : "../data/rendout/tmp_y144_x256_aug/lists/jsdc.txt"
  nGPU : 1
  depth : 18
  netType : "sposenet"
  H : 128
  dataset : "towncenter"
  epochNumber : 1
  shareGradInput : "false"
  nTrainData : 300000
  weightDecay : 0.0005
  nEpochs : 50
  nJoints : 27
  GPU : 1
  backend : "cudnn"
  momentum : 0.9
  retrain : "none"
}
=> Creating model from file: models/sposenet.lua	
 | sposeNet .. towncenter	
Loaded mean and std from cache.
Loaded mean and std from cache.
--TRAIN STARTS..	
Ep. [1/50][45/75000] Time(s): 5.65  batch err: 0.1635887 | dataLoadTime: 0.005 | mem: 2995.88	
Ep. [1/50][46/75000] Time(s): 5.66  batch err: 0.1659521 | dataLoadTime: 0.005 | mem: 2995.87	
Ep. [1/50][47/75000] Time(s): 5.71  batch err: 0.1654343 | dataLoadTime: 0.005 | mem: 2995.88	
Ep. [1/50][48/75000] Time(s): 5.69  batch err: 0.1624898 | dataLoadTime: 0.005 | mem: 2995.87	
Ep. [1/50][49/75000] Time(s): 5.71  batch err: 0.1577143 | dataLoadTime: 0.005 | mem: 2995.88	
Ep. [1/50][50/75000] Time(s): 5.64  batch err: 0.1591391 | dataLoadTime: 0.005 | mem: 2995.87	
Ep. [1/50][51/75000] Time(s): 5.65  batch err: 0.1591266 | dataLoadTime: 0.005 | mem: 2995.88	
Ep. [1/50][52/75000] Time(s): 5.69  batch err: 0.1598993 | dataLoadTime: 0.005 | mem: 2996.67	
Ep. [1/50][53/75000] Time(s): 5.69  batch err: 0.1579720 | dataLoadTime: 0.005 | mem: 2996.68	
Ep. [1/50][54/75000] Time(s): 5.70  batch err: 0.1582064 | dataLoadTime: 0.005 | mem: 2996.67	
Ep. [1/50][55/75000] Time(s): 5.69  batch err: 0.1634114 | dataLoadTime: 0.005 | mem: 2996.68	
Ep. [1/50][56/75000] Time(s): 5.68  batch err: 0.1505348 | dataLoadTime: 0.005 | mem: 2996.67	
Ep. [1/50][57/75000] Time(s): 5.69  batch err: 0.1545456 | dataLoadTime: 0.005 | mem: 2996.68	
Ep. [1/50][58/75000] Time(s): 5.66  batch err: 0.1549235 | dataLoadTime: 0.005 | mem: 2996.97	
Ep. [1/50][59/75000] Time(s): 5.72  batch err: 0.1504885 | dataLoadTime: 0.005 | mem: 2996.98	
Ep. [1/50][60/75000] Time(s): 5.70  batch err: 0.1524411 | dataLoadTime: 0.005 | mem: 2996.97	
Ep. [1/50][61/75000] Time(s): 5.66  batch err: 0.1517582 | dataLoadTime: 0.005 | mem: 2996.98	
Ep. [1/50][62/75000] Time(s): 5.62  batch err: 0.1531039 | dataLoadTime: 0.005 | mem: 2996.97	
Ep. [1/50][63/75000] Time(s): 5.65  batch err: 0.1416664 | dataLoadTime: 0.005 | mem: 2996.98	
Ep. [1/50][64/75000] Time(s): 5.66  batch err: 0.1504966 | dataLoadTime: 0.005 | mem: 2996.97	
Ep. [1/50][65/75000] Time(s): 5.71  batch err: 0.1416318 | dataLoadTime: 0.005 | mem: 2997.38	
Ep. [1/50][66/75000] Time(s): 5.68  batch err: 0.1481054 | dataLoadTime: 0.005 | mem: 2997.37	
Ep. [1/50][67/75000] Time(s): 5.69  batch err: 0.1486547 | dataLoadTime: 0.005 | mem: 2997.38	
Ep. [1/50][68/75000] Time(s): 5.69  batch err: 0.1485449 | dataLoadTime: 0.005 | mem: 2997.37	
Ep. [1/50][69/75000] Time(s): 5.70  batch err: 0.1419291 | dataLoadTime: 0.005 | mem: 2997.83	
Ep. [1/50][70/75000] Time(s): 5.65  batch err: 0.1460382 | dataLoadTime: 0.005 | mem: 2998.13	
Ep. [1/50][71/75000] Time(s): 5.69  batch err: 0.1480507 | dataLoadTime: 0.005 | mem: 2998.13	
Ep. [1/50][72/75000] Time(s): 5.68  batch err: 0.1413070 | dataLoadTime: 0.005 | mem: 2998.13	
Ep. [1/50][73/75000] Time(s): 5.67  batch err: 0.1417093 | dataLoadTime: 0.005 | mem: 2998.13	
Ep. [1/50][74/75000] Time(s): 5.66  batch err: 0.1465155 | dataLoadTime: 0.005 | mem: 2998.84	
Ep. [1/50][75/75000] Time(s): 5.66  batch err: 0.1411315 | dataLoadTime: 0.005 | mem: 2998.85	
Ep. [1/50][76/75000] Time(s): 5.69  batch err: 0.1471885 | dataLoadTime: 0.005 | mem: 2998.84	
Ep. [1/50][77/75000] Time(s): 5.67  batch err: 0.1426979 | dataLoadTime: 0.005 | mem: 2998.85	
Ep. [1/50][78/75000] Time(s): 5.70  batch err: 0.1481972 | dataLoadTime: 0.005 | mem: 2998.84	
Ep. [1/50][79/75000] Time(s): 5.70  batch err: 0.1444245 | dataLoadTime: 0.005 | mem: 2998.85	
Ep. [1/50][80/75000] Time(s): 5.67  batch err: 0.1429116 | dataLoadTime: 0.005 | mem: 2998.84	
Ep. [1/50][81/75000] Time(s): 5.73  batch err: 0.1435457 | dataLoadTime: 0.005 | mem: 2998.85	
Ep. [1/50][82/75000] Time(s): 5.66  batch err: 0.1445195 | dataLoadTime: 0.005 | mem: 2998.84	
Ep. [1/50][83/75000] Time(s): 5.67  batch err: 0.1342459 | dataLoadTime: 0.005 | mem: 2998.85	
Ep. [1/50][84/75000] Time(s): 5.68  batch err: 0.1390087 | dataLoadTime: 0.005 | mem: 2998.84	
Ep. [1/50][85/75000] Time(s): 5.69  batch err: 0.1408469 | dataLoadTime: 0.005 | mem: 2998.85	
Ep. [1/50][86/75000] Time(s): 5.64  batch err: 0.1271890 | dataLoadTime: 0.005 | mem: 2998.84	
Ep. [1/50][87/75000] Time(s): 5.69  batch err: 0.1369464 | dataLoadTime: 0.005 | mem: 2998.85	
Ep. [1/50][88/75000] Time(s): 5.69  batch err: 0.1313522 | dataLoadTime: 0.005 | mem: 2998.84	
Ep. [1/50][89/75000] Time(s): 5.75  batch err: 0.1330774 | dataLoadTime: 0.005 | mem: 2998.85	
Ep. [1/50][90/75000] Time(s): 5.66  batch err: 0.1273051 | dataLoadTime: 0.005 | mem: 2998.84	
Ep. [1/50][91/75000] Time(s): 5.65  batch err: 0.1355688 | dataLoadTime: 0.005 | mem: 2998.85	
Ep. [1/50][92/75000] Time(s): 5.70  batch err: 0.1300652 | dataLoadTime: 0.005 | mem: 2998.84	
Ep. [1/50][93/75000] Time(s): 5.67  batch err: 0.1265807 | dataLoadTime: 0.005 | mem: 2998.85	
Ep. [1/50][94/75000] Time(s): 5.64  batch err: 0.1260695 | dataLoadTime: 0.005 | mem: 2998.84	
Ep. [1/50][95/75000] Time(s): 5.70  batch err: 0.1281904 | dataLoadTime: 0.005 | mem: 2998.85	
Ep. [1/50][96/75000] Time(s): 5.70  batch err: 0.1241619 | dataLoadTime: 0.005 | mem: 2998.84	
Ep. [1/50][97/75000] Time(s): 5.66  batch err: 0.1277010 | dataLoadTime: 0.005 | mem: 2999.00	
Ep. [1/50][98/75000] Time(s): 5.67  batch err: 0.1273068 | dataLoadTime: 0.005 | mem: 2999.00	
Ep. [1/50][99/75000] Time(s): 5.72  batch err: 0.1330640 | dataLoadTime: 0.005 | mem: 2999.00	
Ep. [1/50][100/75000] Time(s): 5.71  batch err: 0.1256128 | dataLoadTime: 0.005 | mem: 2999.00	
Ep. [1/50][101/75000] Time(s): 5.64  batch err: 0.1279350 | dataLoadTime: 0.005 | mem: 2999.00	
Ep. [1/50][102/75000] Time(s): 5.71  batch err: 0.1278020 | dataLoadTime: 0.005 | mem: 2999.00	
Ep. [1/50][103/75000] Time(s): 5.67  batch err: 0.1224643 | dataLoadTime: 0.005 | mem: 2999.00	
Ep. [1/50][104/75000] Time(s): 5.66  batch err: 0.1226036 | dataLoadTime: 0.005 | mem: 2999.23	
Ep. [1/50][105/75000] Time(s): 5.64  batch err: 0.1179572 | dataLoadTime: 0.005 | mem: 2999.84	
Ep. [1/50][106/75000] Time(s): 5.66  batch err: 0.1157283 | dataLoadTime: 0.005 | mem: 3000.81	
Ep. [1/50][107/75000] Time(s): 5.67  batch err: 0.1202700 | dataLoadTime: 0.005 | mem: 3000.81	
Ep. [1/50][108/75000] Time(s): 5.63  batch err: 0.1171523 | dataLoadTime: 0.005 | mem: 3000.81	
Ep. [1/50][109/75000] Time(s): 5.62  batch err: 0.1158833 | dataLoadTime: 0.005 | mem: 3001.14	
Ep. [1/50][110/75000] Time(s): 5.68  batch err: 0.1272655 | dataLoadTime: 0.005 | mem: 3001.13	
Ep. [1/50][111/75000] Time(s): 5.72  batch err: 0.1169375 | dataLoadTime: 0.005 | mem: 3001.14	
Ep. [1/50][112/75000] Time(s): 5.67  batch err: 0.1253914 | dataLoadTime: 0.005 | mem: 3001.13	
Ep. [1/50][113/75000] Time(s): 5.71  batch err: 0.1152390 | dataLoadTime: 0.005 | mem: 3001.49	
Ep. [1/50][114/75000] Time(s): 5.69  batch err: 0.1159828 | dataLoadTime: 0.005 | mem: 3001.48	
Ep. [1/50][115/75000] Time(s): 5.68  batch err: 0.1214946 | dataLoadTime: 0.005 | mem: 3001.49	
Ep. [1/50][116/75000] Time(s): 5.66  batch err: 0.1070196 | dataLoadTime: 0.005 | mem: 3001.48	
Ep. [1/50][117/75000] Time(s): 5.64  batch err: 0.1067084 | dataLoadTime: 0.005 | mem: 3001.81	
Ep. [1/50][118/75000] Time(s): 5.67  batch err: 0.1137888 | dataLoadTime: 0.005 | mem: 3001.80	
Ep. [1/50][119/75000] Time(s): 5.69  batch err: 0.1110598 | dataLoadTime: 0.005 | mem: 3001.81	
Ep. [1/50][120/75000] Time(s): 5.68  batch err: 0.1121797 | dataLoadTime: 0.005 | mem: 3001.80	
Ep. [1/50][121/75000] Time(s): 5.74  batch err: 0.1173538 | dataLoadTime: 0.005 | mem: 3001.81	
Ep. [1/50][122/75000] Time(s): 5.74  batch err: 0.1118292 | dataLoadTime: 0.005 | mem: 3001.80	
Ep. [1/50][123/75000] Time(s): 5.69  batch err: 0.1150620 | dataLoadTime: 0.005 | mem: 3001.81	
Ep. [1/50][124/75000] Time(s): 5.67  batch err: 0.1151141 | dataLoadTime: 0.005 | mem: 3001.80	
Ep. [1/50][125/75000] Time(s): 5.68  batch err: 0.1097032 | dataLoadTime: 0.005 | mem: 3001.81	
Ep. [1/50][126/75000] Time(s): 5.76  batch err: 0.1093774 | dataLoadTime: 0.005 | mem: 3001.80	
Ep. [1/50][127/75000] Time(s): 5.64  batch err: 0.1166848 | dataLoadTime: 0.005 | mem: 3001.81	
Ep. [1/50][128/75000] Time(s): 5.65  batch err: 0.1087864 | dataLoadTime: 0.005 | mem: 3002.35	
Ep. [1/50][129/75000] Time(s): 5.65  batch err: 0.1088275 | dataLoadTime: 0.005 | mem: 3002.36	
Ep. [1/50][130/75000] Time(s): 5.67  batch err: 0.1097112 | dataLoadTime: 0.005 | mem: 3002.35	
Ep. [1/50][131/75000] Time(s): 5.69  batch err: 0.1075875 | dataLoadTime: 0.005 | mem: 3002.68	
Ep. [1/50][132/75000] Time(s): 5.85  batch err: 0.1099383 | dataLoadTime: 0.005 | mem: 3002.67	
Ep. [1/50][133/75000] Time(s): 5.74  batch err: 0.1111531 | dataLoadTime: 0.005 | mem: 3002.68	
Ep. [1/50][134/75000] Time(s): 5.82  batch err: 0.1090091 | dataLoadTime: 0.005 | mem: 3002.67	
