-- ignore option cache	
WARNING: unknown option/argument: save IGNORING for DIRECTORY NAME	
-- ignore option optimState	
-- ignore option retrain	
{
  cudnn : "fastest"
  txtimg : "../data/rendout/tmp_y144_x256_aug/lists/img_pos.txt"
  cache : "../save/"
  batchSize : 32
  W : 64
  netType : "testmodel"
  nDonkeys : 3
  weightDecay : 0.0005
  save : "/home/namhoon/develop/PoseRegression/save/PR_fcn/option/t_WedApr618:36:452016"
  t : "PR_fcn"
  LR : 0.001
  optimState : "none"
  txtjsdc : "../data/rendout/tmp_y144_x256_aug/lists/jsdc_pos.txt"
  nGPU : 1
  nTestData : 1000
  resume : "none"
  H : 128
  dataset : "towncenter"
  epochNumber : 1
  shareGradInput : "false"
  nTrainData : 300000
  epochSize : 9375
  nEpochs : 50
  nJoints : 27
  GPU : 1
  backend : "cudnn"
  momentum : 0.9
  retrain : "none"
}
=> Creating model from file: models/testmodel.lua	
 | sposeNet .. towncenter	
Loaded mean and std from cache.
Loaded mean and std from cache.
Loaded mean and std from cache.
--TRAIN STARTS..	
Ep. [1/50][45/9375] Time(s): 0.89  batch err: 16.0738447 | dataLoadTime: 0.005 | mem: 3050.30	
Ep. [1/50][46/9375] Time(s): 0.90  batch err: 15.8737072 | dataLoadTime: 0.005 | mem: 3050.30	
Ep. [1/50][47/9375] Time(s): 0.90  batch err: 16.0380181 | dataLoadTime: 0.005 | mem: 3050.62	
Ep. [1/50][48/9375] Time(s): 0.90  batch err: 15.6481864 | dataLoadTime: 0.005 | mem: 3050.62	
Ep. [1/50][49/9375] Time(s): 0.90  batch err: 15.6840287 | dataLoadTime: 0.005 | mem: 3050.62	
Ep. [1/50][50/9375] Time(s): 0.90  batch err: 15.7578226 | dataLoadTime: 0.005 | mem: 3050.62	
Ep. [1/50][51/9375] Time(s): 0.90  batch err: 15.4068086 | dataLoadTime: 0.005 | mem: 3051.01	
Ep. [1/50][52/9375] Time(s): 0.90  batch err: 15.2648773 | dataLoadTime: 0.005 | mem: 3051.32	
Ep. [1/50][53/9375] Time(s): 0.90  batch err: 15.1266160 | dataLoadTime: 0.005 | mem: 3051.32	
Ep. [1/50][54/9375] Time(s): 0.90  batch err: 14.8382894 | dataLoadTime: 0.005 | mem: 3051.32	
Ep. [1/50][55/9375] Time(s): 0.90  batch err: 14.7269248 | dataLoadTime: 0.005 | mem: 3051.32	
Ep. [1/50][56/9375] Time(s): 0.90  batch err: 14.4230596 | dataLoadTime: 0.005 | mem: 3051.32	
Ep. [1/50][57/9375] Time(s): 0.90  batch err: 14.6100417 | dataLoadTime: 0.005 | mem: 3051.64	
Ep. [1/50][58/9375] Time(s): 0.90  batch err: 14.3392854 | dataLoadTime: 0.005 | mem: 3052.35	
Ep. [1/50][59/9375] Time(s): 0.90  batch err: 14.4852890 | dataLoadTime: 0.005 | mem: 3052.35	
Ep. [1/50][60/9375] Time(s): 0.90  batch err: 17.5744929 | dataLoadTime: 0.005 | mem: 3052.35	
Ep. [1/50][61/9375] Time(s): 0.90  batch err: 15.5612607 | dataLoadTime: 0.005 | mem: 3052.58	
Ep. [1/50][62/9375] Time(s): 0.90  batch err: 14.1096919 | dataLoadTime: 0.005 | mem: 3052.50	
Ep. [1/50][63/9375] Time(s): 0.90  batch err: 14.1689593 | dataLoadTime: 0.005 | mem: 3052.50	
Ep. [1/50][64/9375] Time(s): 0.90  batch err: 15.1648067 | dataLoadTime: 0.005 | mem: 3052.50	
Ep. [1/50][65/9375] Time(s): 0.90  batch err: 13.8678808 | dataLoadTime: 0.005 | mem: 3052.50	
Ep. [1/50][66/9375] Time(s): 0.90  batch err: 13.8986493 | dataLoadTime: 0.005 | mem: 3052.50	
Ep. [1/50][67/9375] Time(s): 0.90  batch err: 13.8002056 | dataLoadTime: 0.005 | mem: 3052.50	
Ep. [1/50][68/9375] Time(s): 0.90  batch err: 14.5643588 | dataLoadTime: 0.005 | mem: 3052.50	
Ep. [1/50][69/9375] Time(s): 0.90  batch err: 13.9942615 | dataLoadTime: 0.005 | mem: 3052.50	
Ep. [1/50][70/9375] Time(s): 0.90  batch err: 13.4570599 | dataLoadTime: 0.005 | mem: 3052.50	
Ep. [1/50][71/9375] Time(s): 0.90  batch err: 13.8112444 | dataLoadTime: 0.005 | mem: 3052.50	
Ep. [1/50][72/9375] Time(s): 0.90  batch err: 13.2117582 | dataLoadTime: 0.005 | mem: 3053.05	
Ep. [1/50][73/9375] Time(s): 0.90  batch err: 12.8623239 | dataLoadTime: 0.005 | mem: 3053.05	
Ep. [1/50][74/9375] Time(s): 0.90  batch err: 13.0369441 | dataLoadTime: 0.005 | mem: 3053.05	
Ep. [1/50][75/9375] Time(s): 0.90  batch err: 12.9014575 | dataLoadTime: 0.005 | mem: 3053.05	
Ep. [1/50][76/9375] Time(s): 0.90  batch err: 12.6767348 | dataLoadTime: 0.005 | mem: 3053.28	
Ep. [1/50][77/9375] Time(s): 0.90  batch err: 12.6658403 | dataLoadTime: 0.005 | mem: 3053.05	
Ep. [1/50][78/9375] Time(s): 0.92  batch err: 12.3185029 | dataLoadTime: 0.005 | mem: 3053.37	
Ep. [1/50][79/9375] Time(s): 0.90  batch err: 12.1305689 | dataLoadTime: 0.005 | mem: 3053.37	
Ep. [1/50][80/9375] Time(s): 0.91  batch err: 12.2761929 | dataLoadTime: 0.005 | mem: 3053.37	
Ep. [1/50][81/9375] Time(s): 0.90  batch err: 12.3526956 | dataLoadTime: 0.005 | mem: 3053.37	
Ep. [1/50][82/9375] Time(s): 0.91  batch err: 12.3978026 | dataLoadTime: 0.005 | mem: 3053.37	
Ep. [1/50][83/9375] Time(s): 0.91  batch err: 11.8986148 | dataLoadTime: 0.005 | mem: 3053.37	
Ep. [1/50][84/9375] Time(s): 0.90  batch err: 12.1380475 | dataLoadTime: 0.005 | mem: 3053.67	
Ep. [1/50][85/9375] Time(s): 0.90  batch err: 11.8701776 | dataLoadTime: 0.005 | mem: 3053.67	
Ep. [1/50][86/9375] Time(s): 0.90  batch err: 12.0340817 | dataLoadTime: 0.005 | mem: 3053.67	
Ep. [1/50][87/9375] Time(s): 0.90  batch err: 11.3687121 | dataLoadTime: 0.005 | mem: 3053.67	
Ep. [1/50][88/9375] Time(s): 0.90  batch err: 11.7362030 | dataLoadTime: 0.005 | mem: 3054.03	
Ep. [1/50][89/9375] Time(s): 0.90  batch err: 12.4060877 | dataLoadTime: 0.005 | mem: 3054.03	
Ep. [1/50][90/9375] Time(s): 0.90  batch err: 11.7364145 | dataLoadTime: 0.005 | mem: 3054.03	
Ep. [1/50][91/9375] Time(s): 0.90  batch err: 11.0919633 | dataLoadTime: 0.005 | mem: 3054.03	
Ep. [1/50][92/9375] Time(s): 0.90  batch err: 11.2562429 | dataLoadTime: 0.005 | mem: 3054.03	
Ep. [1/50][93/9375] Time(s): 0.90  batch err: 11.1119912 | dataLoadTime: 0.005 | mem: 3054.03	
Ep. [1/50][94/9375] Time(s): 0.89  batch err: 10.7596764 | dataLoadTime: 0.005 | mem: 3054.03	
Ep. [1/50][95/9375] Time(s): 0.90  batch err: 10.7571422 | dataLoadTime: 0.005 | mem: 3054.03	
Ep. [1/50][96/9375] Time(s): 0.90  batch err: 11.8797375 | dataLoadTime: 0.005 | mem: 3054.03	
Ep. [1/50][97/9375] Time(s): 0.90  batch err: 11.7727429 | dataLoadTime: 0.005 | mem: 3054.03	
Ep. [1/50][98/9375] Time(s): 0.89  batch err: 11.2319405 | dataLoadTime: 0.005 | mem: 3054.03	
Ep. [1/50][99/9375] Time(s): 0.89  batch err: 10.7915527 | dataLoadTime: 0.005 | mem: 3054.03	
Ep. [1/50][100/9375] Time(s): 0.89  batch err: 10.6414729 | dataLoadTime: 0.005 | mem: 3054.03	
Ep. [1/50][101/9375] Time(s): 0.89  batch err: 10.8837233 | dataLoadTime: 0.005 | mem: 3054.03	
Ep. [1/50][102/9375] Time(s): 0.89  batch err: 10.6331957 | dataLoadTime: 0.005 | mem: 3054.03	
Ep. [1/50][103/9375] Time(s): 0.89  batch err: 10.5934440 | dataLoadTime: 0.005 | mem: 3054.03	
Ep. [1/50][104/9375] Time(s): 0.89  batch err: 10.4241279 | dataLoadTime: 0.005 | mem: 3054.03	
Ep. [1/50][105/9375] Time(s): 0.89  batch err: 10.1982757 | dataLoadTime: 0.005 | mem: 3054.03	
Ep. [1/50][106/9375] Time(s): 0.89  batch err: 10.2896404 | dataLoadTime: 0.005 | mem: 3054.42	
Ep. [1/50][107/9375] Time(s): 0.90  batch err: 10.4208965 | dataLoadTime: 0.005 | mem: 3054.42	
Ep. [1/50][108/9375] Time(s): 0.89  batch err: 10.1241828 | dataLoadTime: 0.005 | mem: 3054.42	
Ep. [1/50][109/9375] Time(s): 0.89  batch err: 10.1560446 | dataLoadTime: 0.005 | mem: 3054.42	
Ep. [1/50][110/9375] Time(s): 0.89  batch err: 10.3261383 | dataLoadTime: 0.005 | mem: 3054.42	
Ep. [1/50][111/9375] Time(s): 0.89  batch err: 9.9072683 | dataLoadTime: 0.005 | mem: 3054.42	
Ep. [1/50][112/9375] Time(s): 0.89  batch err: 9.7594233 | dataLoadTime: 0.005 | mem: 3054.42	
Ep. [1/50][113/9375] Time(s): 0.89  batch err: 9.5638281 | dataLoadTime: 0.005 | mem: 3054.42	
Ep. [1/50][114/9375] Time(s): 0.89  batch err: 11.2403327 | dataLoadTime: 0.005 | mem: 3054.42	
Ep. [1/50][115/9375] Time(s): 0.89  batch err: 9.6759466 | dataLoadTime: 0.005 | mem: 3054.42	
Ep. [1/50][116/9375] Time(s): 0.89  batch err: 9.4958885 | dataLoadTime: 0.005 | mem: 3054.42	
Ep. [1/50][117/9375] Time(s): 0.89  batch err: 9.2599528 | dataLoadTime: 0.005 | mem: 3054.42	
Ep. [1/50][118/9375] Time(s): 0.89  batch err: 9.4541529 | dataLoadTime: 0.005 | mem: 3054.42	
Ep. [1/50][119/9375] Time(s): 0.89  batch err: 9.1551454 | dataLoadTime: 0.005 | mem: 3055.40	
Ep. [1/50][120/9375] Time(s): 0.89  batch err: 9.2148648 | dataLoadTime: 0.005 | mem: 3055.40	
Ep. [1/50][121/9375] Time(s): 0.89  batch err: 9.1793181 | dataLoadTime: 0.005 | mem: 3055.40	
Ep. [1/50][122/9375] Time(s): 0.89  batch err: 9.6631211 | dataLoadTime: 0.005 | mem: 3055.40	
Ep. [1/50][123/9375] Time(s): 0.89  batch err: 9.3081272 | dataLoadTime: 0.005 | mem: 3055.40	
Ep. [1/50][124/9375] Time(s): 0.89  batch err: 8.9598531 | dataLoadTime: 0.005 | mem: 3055.40	
Ep. [1/50][125/9375] Time(s): 0.89  batch err: 9.3979820 | dataLoadTime: 0.005 | mem: 3055.40	
Ep. [1/50][126/9375] Time(s): 0.89  batch err: 9.0426678 | dataLoadTime: 0.005 | mem: 3055.40	
Ep. [1/50][127/9375] Time(s): 0.89  batch err: 8.9252571 | dataLoadTime: 0.005 | mem: 3055.64	
